velocidad,calle,retraso,velocidad_promedio
36.09,AP Norte >(S),89,17.993880866425993
39.05,AP Norte >(N),45,17.993880866425993
32.61,AP Norte >(N),58,17.993880866425993
29.43,AP Norte >(N),72,17.993880866425993
25.189999999999998,AP Norte >(N),117,17.993880866425993
26.060000000000002,AP Norte >(N),110,17.993880866425993
24.479999999999997,AP Norte >(N),123,17.993880866425993
23.229999999999997,AP Norte >(N),134,17.993880866425993
16.76,AP Norte >(S),97,17.993880866425993
11.690000000000001,AP Norte >(N),163,17.993880866425993
7.92,AP Norte >(S),252,17.993880866425993
8.8,AP Norte >(N),150,17.993880866425993
10.33,AP Norte >(N),189,17.993880866425993
2.88,AP Norte >(S),763,17.993880866425993
10.569999999999999,AP Norte >(N),184,17.993880866425993
12.61,AP Norte >(N),148,17.993880866425993
7.26,AP Norte >(N),233,17.993880866425993
10.91,AP Norte>(N),112,17.993880866425993
26.610000000000003,AP Norte >(N),80,17.993880866425993
9.129999999999999,AP Norte>(N),138,17.993880866425993
6.709999999999999,AP Norte >(S),109,17.993880866425993
9.760000000000002,AP Norte>(N),128,17.993880866425993
6.42,AP Norte >(S),114,17.993880866425993
21.839999999999996,AP Norte >(N),121,17.993880866425993
9.870000000000001,AP Norte>(N),126,17.993880866425993
6.409999999999999,AP Norte >(S),115,17.993880866425993
9.86,AP Norte>(N),126,17.993880866425993
4.38,AP Norte >(S),176,17.993880866425993
16.259999999999998,AP Norte >(N),106,17.993880866425993
4.9,AP Norte >(S),432,17.993880866425993
8.39,AP Norte>(N),153,17.993880866425993
6.08,AP Norte >(S),340,17.993880866425993
5.07,AP Norte >(S),149,17.993880866425993
7.029999999999999,AP Norte >(S),289,17.993880866425993
9.86,AP Norte >(N),163,17.993880866425993
8.58,AP Norte >(S),229,17.993880866425993
9.139999999999999,AP Norte >(S),213,17.993880866425993
25.4,AP Norte >(N),115,17.993880866425993
10.15,AP Norte >(N),157,17.993880866425993
14.2,AP Norte >(N),127,17.993880866425993
8.07,AP Norte >(N),206,17.993880866425993
13.27,AP Norte >(N),109,17.993880866425993
22.45,AP Norte >(N),116,17.993880866425993
14.709999999999999,AP Norte >(N),121,17.993880866425993
5.7299999999999995,AP Norte >(S),130,17.993880866425993
6.32,AP Norte >(S),326,17.993880866425993
9.58,AP Norte>(N),131,17.993880866425993
6.92,AP Norte >(S),105,17.993880866425993
14.65,AP Norte >(N),122,17.993880866425993
24.11,AP Norte >(N),89,17.993880866425993
7.470000000000001,AP Norte >(N),225,17.993880866425993
9.58,AP Norte>(N),131,17.993880866425993
15.020000000000001,AP Norte >(N),118,17.993880866425993
29.74,AP Norte >(N),70,17.993880866425993
7.13,AP Norte>(N),184,17.993880866425993
15.830000000000002,AP Norte >(S),106,17.993880866425993
25.189999999999998,AP Norte >(N),88,17.993880866425993
7.470000000000001,AP Norte>(N),175,17.993880866425993
12.55,AP Norte >(N),121,17.993880866425993
